area,bedrooms,bathrooms,floors,parking,age,price
800,2,1,1,0,15,3200000
900,2,1,1,1,12,3800000
1000,2,2,1,1,10,4500000
1100,2,2,1,1,8,5000000
1200,3,2,1,1,7,5600000
1300,3,2,1,1,6,6100000
1400,3,2,2,1,5,6800000
1500,3,2,2,1,4,7200000
1600,3,3,2,1,5,7800000
1700,3,3,2,2,4,8400000
1800,4,3,2,2,3,9000000
1900,4,3,2,2,3,9600000
2000,4,3,2,2,2,10200000
2100,4,3,2,2,2,10800000
2200,4,3,2,2,1,11500000
2300,4,4,2,2,2,12200000
2400,4,4,2,2,1,13000000
2500,5,4,2,2,2,13800000
2600,5,4,2,2,1,14500000
2700,5,4,3,2,1,15200000
2800,5,4,3,2,2,15800000
2900,5,5,3,2,1,16600000
3000,5,5,3,2,1,17500000
3100,5,5,3,3,1,18400000
3200,5,5,3,3,1,19300000
